sample_id	raw_r1	raw_r2
ID_RRT_K3	20098D-04-290_S18_L005_R1_001.fastq.gz	20098D-04-290_S18_L005_R2_001.fastq.gz
ID_CRF_118	20098D-04-291_S19_L005_R1_001.fastq.gz	20098D-04-291_S19_L005_R2_001.fastq.gz
ID_RRT_KW5	20098D-04-292_S20_L005_R1_001.fastq.gz	20098D-04-292_S20_L005_R2_001.fastq.gz
ID_RRT_M10	20098D-04-293_S21_L005_R1_001.fastq.gz	20098D-04-293_S21_L005_R2_001.fastq.gz
ID_RRT_M5	20098D-04-294_S22_L005_R1_001.fastq.gz	20098D-04-294_S22_L005_R2_001.fastq.gz
ID_RRT_M6	20098D-04-295_S23_L005_R1_001.fastq.gz	20098D-04-295_S23_L005_R2_001.fastq.gz
ID_RRT_M7	20098D-04-296_S24_L005_R1_001.fastq.gz	20098D-04-296_S24_L005_R2_001.fastq.gz
ID_RRT_U104	20098D-04-297_S25_L005_R1_001.fastq.gz	20098D-04-297_S25_L005_R2_001.fastq.gz
ID_RRT_U93	20098D-04-298_S26_L005_R1_001.fastq.gz	20098D-04-298_S26_L005_R2_001.fastq.gz
ID_RRT_U94	20098D-04-299_S27_L005_R1_001.fastq.gz	20098D-04-299_S27_L005_R2_001.fastq.gz
ID_UM_15y	20098D-04-300_S28_L005_R1_001.fastq.gz	20098D-04-300_S28_L005_R2_001.fastq.gz
ID_UM_16y	20098D-04-301_S29_L005_R1_001.fastq.gz	20098D-04-301_S29_L005_R2_001.fastq.gz
ID_UM_19y	20098D-04-302_S30_L005_R1_001.fastq.gz	20098D-04-302_S30_L005_R2_001.fastq.gz
ID_UM_27y	20098D-04-303_S31_L005_R1_001.fastq.gz	20098D-04-303_S31_L005_R2_001.fastq.gz
ID_UM_28y	20098D-04-304_S32_L005_R1_001.fastq.gz	20098D-04-304_S32_L005_R2_001.fastq.gz
ID_UM_29y	20098D-04-305_S33_L005_R1_001.fastq.gz	20098D-04-305_S33_L005_R2_001.fastq.gz
ID_UM_32y	20098D-04-307_S34_L005_R1_001.fastq.gz	20098D-04-307_S34_L005_R2_001.fastq.gz
ID_UM_36y	20098D-04-308_S35_L005_R1_001.fastq.gz	20098D-04-308_S35_L005_R2_001.fastq.gz
ID_UM_37y	20098D-04-309_S36_L005_R1_001.fastq.gz	20098D-04-309_S36_L005_R2_001.fastq.gz
ID_UM_38y	20098D-04-310_S37_L005_R1_001.fastq.gz	20098D-04-310_S37_L005_R2_001.fastq.gz
ID_UM_40y	20098D-04-311_S38_L005_R1_001.fastq.gz	20098D-04-311_S38_L005_R2_001.fastq.gz
ID_UM_46y	20098D-04-312_S39_L005_R1_001.fastq.gz	20098D-04-312_S39_L005_R2_001.fastq.gz
ID_UM_47y	20098D-04-313_S40_L005_R1_001.fastq.gz	20098D-04-313_S40_L005_R2_001.fastq.gz
ID_UM_48y	20098D-04-314_S41_L005_R1_001.fastq.gz	20098D-04-314_S41_L005_R2_001.fastq.gz
ID_UM_49y	20098D-04-315_S42_L005_R1_001.fastq.gz	20098D-04-315_S42_L005_R2_001.fastq.gz
ID_UM_52y	20098D-04-316_S43_L005_R1_001.fastq.gz	20098D-04-316_S43_L005_R2_001.fastq.gz
ID_UM_54y	20098D-04-317_S44_L005_R1_001.fastq.gz	20098D-04-317_S44_L005_R2_001.fastq.gz
ID_UM_58y	20098D-04-319_S45_L005_R1_001.fastq.gz	20098D-04-319_S45_L005_R2_001.fastq.gz
ID_UM_59y	20098D-04-320_S46_L005_R1_001.fastq.gz	20098D-04-320_S46_L005_R2_001.fastq.gz
ID_UM_60b	20098D-04-321_S47_L005_R1_001.fastq.gz	20098D-04-321_S47_L005_R2_001.fastq.gz
ID_UM_63y	20098D-04-322_S48_L005_R1_001.fastq.gz	20098D-04-322_S48_L005_R2_001.fastq.gz
ID_UM_64y	20098D-04-323_S49_L005_R1_001.fastq.gz	20098D-04-323_S49_L005_R2_001.fastq.gz
ID_UM_66y	20098D-04-324_S50_L005_R1_001.fastq.gz	20098D-04-324_S50_L005_R2_001.fastq.gz
ID_UM_68y	20098D-04-326_S51_L005_R1_001.fastq.gz	20098D-04-326_S51_L005_R2_001.fastq.gz
ID_UM_70y	20098D-04-327_S52_L005_R1_001.fastq.gz	20098D-04-327_S52_L005_R2_001.fastq.gz
